tag_id,subloc_sequence,loc_code,detection_counts,dwell_times
989.001006341714,[1.0],['21'],[6],[39.15]
989.00100659888,"[nan, 1.0, 0.0, nan]","['60', '6A', '6B', '60']","[42, 12, 72, 50]","[693.05, 0.0, 8731.38, 253668.42]"
989.001006608003,"[1.0, 1.0, 0.0]","['22', '202', '201']","[40, 4, 4]","[1043247.59, 0.0, 0.0]"
989.001006608062,"[1.0, 0.0, 0.0, 1.0]","['6A', '6B', '6B', '6A']","[1, 6, 14, 7]","[0.0, 931.48, 790.26, 96064.64]"
989.001006675482,"[nan, 1.0, 0.0]","['60', '6A', '6B']","[30, 12, 36]","[68.92, 0.0, 425.22]"
989.001006675484,"[1.0, 0.0]","['202', '201']","[2, 2]","[0.0, 0.0]"
989.001006676104,"[0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]","['402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '402', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '401', '401', '402', '402', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '401', '402', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '401', '402', '401', '402', '401', '402', '401', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402', '401', '402']","[30, 4, 2, 4, 20, 6, 6, 6, 6, 18, 4, 10, 6, 6, 4, 2, 37, 1, 3, 4, 6, 6, 36, 24, 108, 24, 12, 36, 108, 12, 50, 26, 26, 156, 65, 13, 26, 52, 26, 78, 143, 39, 13, 26, 26, 26, 26, 286, 13, 13, 26, 39, 104, 39, 91, 156, 65, 195, 52, 692, 15, 284, 56, 14, 28, 3040, 13, 1079, 13, 2140, 12, 36, 24, 96, 12, 24, 25, 13, 61, 24, 12, 144, 84, 372, 24, 24, 12, 48, 48, 24, 24, 24, 72, 36, 240, 24, 468, 24, 516, 12, 2807, 11, 627, 21, 1312, 26, 26, 26, 26, 13, 3900, 52, 5161, 26, 2626, 26, 52, 52, 7947, 33, 2431, 11, 1914, 99, 22, 22, 11, 33, 209, 33, 1815, 55, 66, 33, 66, 121, 22, 22, 11, 33, 22, 11, 33, 143, 1342, 11, 11, 154, 158, 100, 10, 20, 20, 10, 20, 170, 30, 1130, 10, 30, 20, 10, 70, 20, 180, 50, 340, 3970, 63, 2151, 180, 1008, 108, 405, 171, 9, 9, 18, 1116, 27, 747, 18, 9, 63, 54, 1251, 9, 702, 18, 6219, 18, 3294, 9, 3529, 8, 8, 24, 1984, 112, 40, 32, 70, 21, 28, 7, 168, 6, 144, 12, 258, 6, 6, 6, 24, 30, 12, 18, 96, 6, 16, 3, 19, 14, 21, 12, 90, 5, 35, 6, 36, 5, 51, 3, 99, 6, 3, 3, 15, 2, 4, 8, 2, 2, 2, 4, 5, 6, 18, 3, 3, 9, 3, 9, 9, 48, 125, 5, 5, 5, 10, 10, 5, 5, 10, 15, 5, 5, 5, 55, 5, 10, 20, 5, 5, 15, 5, 5, 5, 5, 5, 5, 27, 12, 4, 4, 4, 12, 8, 4, 8, 8, 12, 8, 15, 10, 8, 8, 4, 4, 36, 4, 35, 5, 5, 26, 3, 18, 6, 9, 6, 9, 3, 9, 3, 9, 6, 9, 18, 6, 6, 3, 3, 6]","[4459266.45, 1520.36, 0.0, 18800.02, 18782.29, 4031.24, 42244.91, 43252.41, 36809.87, 49245.6, 5217.77, 123022.68, 138040.6, 1304.6, 23271.73, 0.0, 713694.78, 0.0, 6818.74, 2892.53, 6344.7, 19634.03, 18234.4, 839.56, 1732.82, 302.78, 0.0, 2176.3, 56191.26, 0.0, 1965.74, 339.85, 93.48, 2447.39, 26170.68, 0.0, 231.03, 2546.37, 65.58, 12739.34, 28227.84, 453.67, 0.0, 526.05, 578.19, 1696.91, 590.43, 34815.72, 0.0, 0.0, 47.53, 554.75, 4122.14, 2761.53, 24302.3, 40026.53, 29007.01, 7945.86, 9766.16, 399821.81, 0.0, 141568.21, 1315.8, 0.0, 21.43, 825503.9, 0.0, 74838.57, 0.0, 1034767.37, 0.0, 2345.18, 555.04, 146245.88, 0.0, 515.99, 453668.11, 0.0, 101580.97, 369.79, 0.0, 15273.77, 64104.3, 21170.77, 1187.51, 134.97, 0.0, 6574.81, 1849.35, 1031.04, 221.29, 10607.67, 8680.83, 2592.36, 33428.06, 50240.52, 36301.92, 48354.8, 36389.72, 0.0, 207819.52, 0.0, 37653.24, 48984.2, 142688.19, 416.95, 932.98, 7994.04, 995.45, 0.0, 125946.09, 14116.52, 172013.57, 58.78, 70473.64, 338.21, 2682.73, 1444.33, 605132.23, 857.58, 104642.92, 0.0, 59165.54, 3301.69, 222.52, 14.15, 0.0, 1952.7, 16332.66, 808.66, 32996.33, 3528.19, 1109.32, 819.72, 1336.3, 4250.55, 417.81, 16.12, 0.0, 2648.76, 96.31, 0.0, 1756.66, 8076.06, 26466.78, 0.0, 0.0, 5259.32, 3901.84, 4087.5, 0.0, 375.75, 6793.71, 0.0, 296.76, 13835.86, 1007.39, 22595.01, 0.0, 12100.72, 304.51, 0.0, 2723.83, 283.93, 8257.66, 4585.21, 7592.95, 201711.69, 29242.33, 65330.92, 7266.41, 21210.2, 10924.28, 8563.96, 27835.07, 0.0, 0.0, 330.86, 21794.19, 1237.56, 16153.84, 1098.13, 0.0, 3273.33, 16817.95, 25592.15, 0.0, 30500.6, 1044.38, 278147.97, 300.32, 127956.88, 0.0, 172457.55, 0.0, 0.0, 5850.7, 105021.74, 4128.21, 917.94, 2102.59, 92156.16, 1424.7, 1509.19, 0.0, 8915.48, 0.0, 14920.02, 436.69, 151252.09, 0.0, 0.0, 0.0, 153532.31, 22603.91, 48414.17, 11420.44, 8593.14, 0.0, 1455270.61, 0.0, 1006760.23, 29370.32, 174845.52, 303.14, 1589784.17, 0.0, 91932.25, 0.0, 293853.79, 0.0, 2079852.65, 0.0, 14859.85, 6547.11, 0.0, 0.0, 418125.28, 0.0, 56380.46, 35473.31, 0.0, 0.0, 0.0, 38379.69, 47663.77, 37058.11, 221728.43, 0.0, 0.0, 136885.93, 0.0, 137436.68, 12864.27, 69763.15, 95000.27, 0.0, 0.0, 0.0, 34234.14, 51092.96, 0.0, 0.0, 25999.26, 60061.87, 0.0, 0.0, 0.0, 486581.14, 0.0, 53287.69, 32450.25, 0.0, 0.0, 1717.08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 227578.33, 1787.39, 0.0, 0.0, 0.0, 31328.06, 56022.29, 0.0, 55655.37, 30293.1, 142389.53, 6688.94, 142937.09, 30874.38, 10.14, 983.37, 0.0, 0.0, 400986.08, 0.0, 57972.19, 0.0, 0.0, 58186.76, 0.0, 3116.72, 1203.92, 50879.4, 85.87, 1428.65, 0.0, 2294.13, 0.0, 571.63, 84726.7, 39270.07, 28240.17, 82594.91, 3718.07, 0.0, 0.0, 962.56]"
989.001006676128,[1.0],['401'],[5],[0.0]
989.001006676135,[0.0],['402'],[5],[0.0]
989.001006676365,[1.0],['22'],[2],[0.0]
