source,target,source_antenna,target_antenna,transition_count
401,402,03,07,5
402,402,08,09,2
402,401,08,02,6
401,402,02,09,1
402,402,07,08,5
402,401,07,05,1
402,402,06,06,243
402,402,06,07,8
402,402,0A,0A,15
401,402,04,08,3
401,401,02,02,760
401,401,03,03,193
401,402,02,06,9
402,402,08,06,5
402,401,07,04,1
402,401,07,02,15
402,401,07,03,1
402,402,06,08,3
401,402,03,08,10
402,401,09,05,1
401,402,02,08,8
402,402,0A,09,1
402,402,09,07,1
402,402,07,07,338
402,402,08,07,9
402,401,0A,03,1
401,401,05,05,9
402,402,07,06,5
401,401,03,02,3
401,401,05,03,1
402,401,09,04,1
402,401,09,03,1
401,401,02,03,10
402,402,09,09,30
402,401,06,02,9
401,402,02,07,5
401,402,05,0A,1
402,401,08,03,6
401,402,03,06,1
401,401,04,04,16
402,402,08,08,359
402,402,08,0A,1
