tag_id,loc_code,start_date,end_date,dwell_time,number_of_detections
989.001006678562,7A,2020-09-26,2020-09-26,0 days 00:02:05.290000,3
989.001033389589,21,2020-09-27,2020-09-27,0 days 00:00:00,1
989.001006676365,22,2020-10-03,2020-10-03,0 days 00:00:00,2
989.001006678563,232,2020-10-23,2020-10-23,0 days 00:03:49.320000,2
989.001006678563,231,2020-10-23,2020-10-23,0 days 00:06:36.940000,2
989.001038869877,84,2021-04-28,2021-04-28,0 days 00:00:00,3
989.001038869413,84,2021-04-29,2021-04-29,0 days 01:00:46.320000,15
989.001038870418,84,2021-04-29,2021-04-29,0 days 09:40:46.170000,45
989.001038869832,84,2021-04-29,2021-04-29,0 days 00:00:00,3
989.001038869832,83,2021-04-29,2021-04-29,0 days 00:00:00,1
989.001038869832,84,2021-04-29,2021-04-29,0 days 04:49:22.770000,12
989.001038870418,83,2021-04-29,2021-04-29,0 days 00:00:00,1
989.001038870418,84,2021-04-29,2021-04-29,0 days 00:00:00,3
989.001038869832,83,2021-04-29,2021-04-29,0 days 00:01:41.720000,2
989.001038869832,84,2021-04-29,2021-04-29,0 days 00:33:47.380000,6
989.001038870404,84,2021-04-29,2021-04-29,0 days 00:38:23.860000,6
989.001038869851,83,2021-04-29,2021-10-05,158 days 22:27:04.810000,3
989.001038870404,83,2021-04-30,2021-04-30,0 days 00:00:00,1
989.001038869847,84,2021-04-30,2021-04-30,0 days 00:00:00,3
989.001038869363,84,2021-04-30,2021-04-30,0 days 00:00:00,3
989.001038869363,83,2021-04-30,2021-04-30,0 days 00:00:00,1
989.001038869363,84,2021-04-30,2021-04-30,0 days 00:05:16.650000,6
989.001038869399,84,2021-04-30,2021-04-30,0 days 00:00:00,3
989.001038869423,84,2021-05-01,2021-05-01,0 days 00:00:00,3
989.001038869423,83,2021-05-01,2022-11-04,552 days 08:48:51.450000,5
989.001038853209,6D,2021-05-04,2021-05-04,0 days 11:44:50,2
989.001038850059,6D,2021-05-04,2021-05-04,0 days 11:54:40,8
989.001038852919,6D,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038851834,6D,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038852838,6D,2021-05-04,2021-05-04,0 days 00:05:48,2
989.001038852889,6D,2021-05-04,2021-05-04,0 days 11:37:44,2
989.001038850838,6D,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038850285,6D,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038853106,6D,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038850131,6D,2021-05-04,2021-05-04,0 days 00:00:01,2
989.001038849365,6D,2021-05-04,2021-05-04,0 days 00:23:36,2
989.001038853144,6D,2021-05-04,2021-05-04,0 days 02:30:51,3
989.001038853207,6D,2021-05-04,2021-05-04,0 days 00:03:49,2
989.001038852020,6D,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038851455,6D,2021-05-04,2021-05-04,0 days 00:02:59,2
989.001038850483,6D,2021-05-04,2021-05-04,0 days 03:13:10,6
989.001038849792,6D,2021-05-04,2021-05-04,0 days 00:38:47,4
989.001038850823,6D,2021-05-04,2021-05-04,0 days 00:04:02,2
989.001038850560,6D,2021-05-04,2021-05-04,0 days 00:37:00,3
989.001038853466,6D,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038854231,6D,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038850181,6D,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038853306,6D,2021-05-04,2021-05-04,0 days 00:36:52,7
989.001038850956,6D,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038852408,6D,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038725765,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038727169,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038850222,6D,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038727353,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038724987,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038727056,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038726283,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038724549,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038725671,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038724011,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038725511,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038725347,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038725660,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038725792,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038725691,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038726316,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038727779,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038724423,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038727359,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038728393,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038724131,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038726653,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038725528,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038726331,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038727444,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038724916,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038723881,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038723944,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038723636,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038723577,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038726315,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038724192,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038723621,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038853332,6D,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038727551,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038851857,6D,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038853405,6D,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038725892,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038727319,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038726031,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038726524,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038726227,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038725077,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038724481,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038727144,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038725929,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038727644,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038852914,6D,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038853395,6D,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038724962,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038849926,6D,2021-05-04,2021-05-04,0 days 00:03:00,2
989.001038728278,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038851860,6D,2021-05-04,2021-05-04,0 days 00:00:00,1
