loc_code,latitude,longitude
MHR,50.0329430,-125.2421600
9G,50.0152500,-125.3034630
701,49.6988510,-125.0001290
44,49.2759936,-124.2970577
3B,49.0736750,-123.8726370
9D,50.0185550,-125.3020500
MHR,48.5810000,-124.4010000
51,49.3504800,-124.4956750
12,48.4863520,-123.5481140
79,49.6976310,-125.0011520
MPR,49.5849000,-124.8825000
MHR,50.3320000,-125.4430000
MHR,48.8279470,-125.1399960
MHR,50.0273980,-125.2414270
C1,49.3378220,-124.9815680
MPR,49.1752030,-123.9196410
301,49.1140790,-123.8781180
MPR,49.0532000,-123.7131000
MHR,50.0331880,-125.2433040
MHR,49.1770000,-123.9420000
MHR,48.5550000,-124.4210000
MPR,48.4145487,-123.3646601
MHR,48.3660000,-123.7280000
43,49.2759936,-124.2970577
22,48.7713600,-123.6537830
60,49.3939500,-124.6179900
FHR,49.3485560,-124.3562400
9A,50.0153100,-125.3040000
MPR,49.1654850,-123.9333380
7F,49.6989470,-124.9989410
7C,49.6853290,-125.0325690
232,48.7835770,-123.9546100
MPR,49.6750000,-124.9930000
6B,49.3936500,-124.6182000
402,49.3218760,-124.2868520
82,49.8503430,-125.1004260
MHR,49.6706290,-124.9289310
MHR,49.8381430,-124.5300320
MHR,49.3570000,-123.2700000
6A,49.3937000,-124.6181530
MHR,49.8015680,-124.5186210
MPR,49.4568640,-124.7109980
F1,49.0478790,-125.3575960
3C,49.1146820,-123.8787420
MPR,49.0094000,-123.5954000
45,49.2759936,-124.2970577
501,49.3630067,-124.4884723
MHR,49.2862900,-124.1366740
MHR,48.3670410,-123.7280840
74,49.6639600,-125.0942070
3A,49.0743730,-123.8726880
233,48.7835770,-123.9546100
78,49.6990800,-125.0003140
3F,49.1553832,-123.9260216
MHR,48.3890000,-123.6650000
83,49.8503430,-125.1004260
MHR,48.6430000,-123.3980000
MHR,48.6510000,-123.3950000
91,50.0373860,-125.2934080
6C,49.3935620,-124.6185300
MPR,48.8795130,-123.6288980
2C,48.8048560,-124.0039930
9C,50.0153100,-125.3020500
