tag_id,subloc_sequence,detection_counts,dwell_times,similarity_score,similarity(in_days)
989.001042046353,"[1.0, 0.01]","[3, 4]","[74414242.09, 153.51]",24804747.7471083,287.091987813754
989.001038869944,"[1.0, 0.01]","[3, 3]","[49457490.48, 0.01]",16485830.1600333,190.80821944483
989.001038870859,"[0.01, 1.0, 0.01]","[3, 3, 6]","[0.01, 46623226.53, 1482.08]",15541077.9801667,179.87358773341
989.001038870493,"[0.01, 1.0, 0.01]","[3, 3, 39]","[0.01, 45061095.24, 2811238.57]",15021085.9104359,173.855161000415
989.001040921944,"[1.0, 0.01, 1.0, 0.01]","[4, 3, 2, 2]","[48331116.81, 0.01, 0.01, 0.01]",12082779.2075833,139.846981569252
989.001042044041,"[1.0, 0.01]","[4, 2]","[45673688.38, 0.01]",11418422.09505,132.157663137153
989.001038869423,"[0.01, 1.0, 0.01]","[3, 5, 3]","[0.01, 47724531.45, 0.01]",9544906.29006667,110.473452431327
989.001042813276,[1.0],[5],[45714550.56],9142910.112,105.820718888889
989.001044924098,[1.0],[5],[44614682.56],8922936.512,103.274728148148
989.001044927964,"[0.01, 1.0, 0.01, 1.0]","[3, 5, 2, 2]","[0.01, 43862398.85, 0.01, 0.01]",8772479.77508334,101.533330730131
989.001042043626,"[1.0, 0.01]","[5, 2]","[43853542.22, 0.01]",8770708.44405,101.512829213542
989.001042044393,"[1.0, 0.01, 1.0]","[5, 2, 1]","[43804183.14, 0.01, 0.01]",8760836.63805,101.398572199653
989.001044924596,"[1.0, 0.01, 1.0]","[5, 2, 1]","[43776618.84, 0.01, 0.01]",8755323.77805,101.334765949653
989.001044929468,"[1.0, 0.01, 1.0]","[5, 4, 1]","[43291546.38, 64.13, 0.01]",8658309.446325,100.211914888021
989.001040516081,"[0.01, 1.0, 1.0, 1.0, 0.01]","[2, 2, 9, 9, 9]","[0.01, 0.01, 70951909.57, 0.01, 0.01]",7883545.51395,91.2447397447916
989.001042045979,"[1.0, 0.01, 1.0]","[6, 2, 1]","[45790367.76, 0.01, 0.01]",7631727.97005,88.3301848385417
989.001042045036,"[0.01, 1.0, 0.01, 1.0]","[4, 6, 2, 1]","[0.01, 44825353.16, 0.01, 0.01]",7470892.20340833,86.4686597616705
989.001042044997,"[0.01, 1.0, 0.01, 1.0]","[8, 6, 2, 1]","[11650.5, 44823016.81, 0.01, 0.01]",7470517.37484167,86.4643214680748
989.001042362555,"[1.0, 0.01, 1.0, 0.01, 1.0, 0.01]","[6, 4, 2, 2, 1, 1]","[44402320.06, 74.68, 0.01, 0.01, 0.01, 0.01]",7400386.87851667,85.6526259087577
989.001042044372,"[1.0, 0.01, 1.0]","[6, 2, 1]","[43806497.49, 0.01, 0.01]",7301082.92505,84.5032745954861
989.001044926081,[1.0],[6],[42229154.9],7038192.48333333,81.4605611496914
989.001041756094,[1.0],[6],[42146018.78],7024336.46333333,81.3001905478395
989.001044930032,[1.0],[7],[42738908.52],6105558.36,70.6661847222222
989.001042045037,"[1.0, 0.01, 1.0]","[8, 4, 1]","[42725151.84, 44.11, 0.01]",5340644.100275,61.8130104198495
989.00104493032,"[1.0, 0.01, 1.0]","[9, 1, 1]","[44943310.51, 0.01, 0.01]",4993701.17787778,57.7974673365484
989.001042812268,"[0.01, 1.0, 0.01, 1.0, 0.01]","[7, 5, 3, 3, 2]","[5877623.35, 23334773.53, 0.01, 0.01, 0.01]",4675351.31420238,54.1128624328979
989.001042813234,[1.0],[10],[46642635.96],4664263.596,53.9845323611111
989.001038869851,"[1.0, 0.01]","[3, 24]","[13732024.81, 257564.67]",4577448.92194583,52.9797328928916
989.001041722639,"[0.01, 1.0, 1.0, 0.01]","[3, 11, 9, 45]","[0.01, 39638118.06, 0.01, 1233.91]",3603465.55352848,41.706777239913
989.001042002272,"[1.0, 0.01]","[22, 4]","[75797237.82, 0.01]",3445328.99184318,39.8764929611479
989.001042043758,[1.0],[12],[31678307.49],2639858.9575,30.553923119213
989.00104172301,"[0.01, 1.0, 1.0, 1.0, 0.01]","[3, 3, 15, 9, 9]","[0.01, 0.01, 39280545.14, 0.01, 0.01]",2618703.01382222,30.3090626599794
989.001045734758,[1.0],[6],[15379164.06],2563194.01,29.666597337963
989.002027697481,"[1.0, 0.01]","[6, 3]","[15338431.14, 0.01]",2556405.19003333,29.5880230327932
989.002027700414,"[1.0, 0.01]","[6, 3]","[14560254.2, 0.01]",2426709.03336667,28.0869101084105
989.002027698878,"[1.0, 0.01]","[6, 2]","[14553298.75, 0.01]",2425549.79171667,28.0734929596836
989.001034166531,"[1.0, 0.01, 1.0, 0.01, 0.01, 1.0, 0.01, 1.0, 0.01]","[9, 9, 4, 8, 18, 3, 9, 2, 2]","[21763790.21, 983660.58, 0.01, 4268.12, 2151.16, 0.01, 1272.16, 0.01, 0.01]",2419299.82305556,28.0011553594393
989.001045158295,"[1.0, 1.0]","[18, 1]","[42085896.73, 0.01]",2338105.38388889,27.0614049061214
989.001041756072,"[0.01, 1.0, 0.01, 1.0, 0.01]","[2, 18, 4, 132, 4]","[0.01, 41989645.21, 0.01, 171630.8, 0.01]",2334058.30065556,27.0145636649949
