tag_id,loc_code,number_of_detections,dwell_time,movement_direction,time_between_locations
6.0697336e-05,['701'],[1],['0 days 00:00:00'],[],[NaT]
8.0536563e-05,['701'],[1],['0 days 00:00:00'],[],[NaT]
0.000174148523,['21'],[1],['0 days 00:00:00'],[],[NaT]
0.000183237628,['702'],[1],['0 days 00:00:00'],[],[NaT]
3.237301012403,['11'],[1],['0 days 00:00:00'],[],[NaT]
3.237301012442,['9A'],[1],['0 days 00:00:00'],[],[NaT]
3.237304866581,['921'],[1],['0 days 00:00:00'],[],[NaT]
124.000318502171,"['301', '302']","[1, 1]","['0 days 00:00:00', '0 days 00:00:00']",['us'],"[Timedelta('0 days 00:01:44.280000'), NaT]"
479.001040511247,['5A'],[1],['0 days 00:00:00'],[],[NaT]
768.26454833792,['83'],[1],['0 days 00:00:00'],[],[NaT]
861.000502004924,['81'],[1],['0 days 00:00:00'],[],[NaT]
889.096465833902,['6B'],[1],['0 days 00:00:00'],[],[NaT]
900.026000686393,['501'],[1],['0 days 00:00:00'],[],[NaT]
900.026000771484,['302'],[1],['0 days 00:00:00'],[],[NaT]
900.18200209424,['702'],[2],['0 days 00:14:02.650000'],[],[NaT]
900.219000568749,['702'],[2],['0 days 00:05:46.320000'],[],[NaT]
900.226000635628,['201'],[4],['0 days 00:12:10.660000'],[],[NaT]
900.22600063573,['231'],[2],['1 days 00:57:47.640000'],[],[NaT]
900.226000635731,['21'],[4],['0 days 00:02:57.940000'],[],[NaT]
900.228000307801,['91'],[1],['0 days 00:00:00'],[],[NaT]
900.228000389935,['921'],[1],['0 days 00:00:00'],[],[NaT]
900.228000592954,['91'],[1],['0 days 00:00:00'],[],[NaT]
939.000007394779,['302'],[7],['61 days 09:39:12.460000'],[],[NaT]
939.000007398957,['302'],[2],['373 days 22:34:59.590000'],[],[NaT]
941.000024190777,['702'],[1],['0 days 00:00:00'],[],[NaT]
952.000000872603,['702'],[1],['0 days 00:00:00'],[],[NaT]
952.000000930004,['21'],[1],['0 days 00:00:00'],[],[NaT]
952.000001043923,['301'],[1],['0 days 00:00:00'],[],[NaT]
952.000001068446,['302'],[1],['0 days 00:00:00'],[],[NaT]
952.000001273402,['302'],[1],['0 days 00:00:00'],[],[NaT]
956.000004823978,['12'],[1],['0 days 00:00:00'],[],[NaT]
956.000004914433,['501'],[1],['0 days 00:00:00'],[],[NaT]
956.000005411728,"['6A', '61', '61', '6A', '61']","[5, 6, 12, 1, 548]","['2 days 10:58:30.360000', '1 days 20:15:12.630000', '5 days 21:50:03.030000', '0 days 00:00:00', '402 days 23:49:14.870000']","['ds', 'unknown', 'us', 'ds']","[Timedelta('21 days 16:26:32.950000'), Timedelta('698 days 02:14:13.630000'), Timedelta('0 days 00:36:30.360000'), Timedelta('0 days 00:40:05.450000'), NaT]"
956.000006225838,"['11', '12', '11', '12']","[2, 1, 2, 1]","['0 days 00:05:22.870000', '0 days 00:00:00', '0 days 00:08:43.930000', '0 days 00:00:00']","['us', 'ds', 'us']","[Timedelta('0 days 00:00:11.060000'), Timedelta('0 days 00:17:11.970000'), Timedelta('0 days 00:00:09.890000'), NaT]"
956.000006406545,"['6A', '501']","[11, 116]","['0 days 02:55:09.300000', '886 days 23:37:28.230000']",['unknown'],"[Timedelta('217 days 18:46:49.710000'), NaT]"
956.00000677611,['501'],[1],['0 days 00:00:00'],[],[NaT]
956.000007423837,['702'],[1],['0 days 00:00:00'],[],[NaT]
956.000007862415,['302'],[1],['0 days 00:00:00'],[],[NaT]
956.000008226008,"['201', '202', '201', '202']","[1, 1, 1, 2]","['0 days 00:00:00', '0 days 00:00:00', '0 days 00:00:00', '316 days 22:39:45.490000']","['us', 'ds', 'us']","[Timedelta('2 days 00:37:50.980000'), Timedelta('7 days 23:55:46.480000'), Timedelta('0 days 00:05:51.370000'), NaT]"
956.000009417166,['702'],[2],['1 days 03:33:54.680000'],[],[NaT]
956.000009494593,['501'],[1],['0 days 00:00:00'],[],[NaT]
956.000009606236,['301'],[2],['0 days 00:06:22.980000'],[],[NaT]
956.00001018307,['702'],[11],['308 days 21:15:00.550000'],[],[NaT]
956.000011660647,['702'],[1],['0 days 00:00:00'],[],[NaT]
956.00001220074,['702'],[1],['0 days 00:00:00'],[],[NaT]
956.000015639709,['302'],[1],['0 days 00:00:00'],[],[NaT]
956.000016758622,['44'],[4],['0 days 00:26:33.600000'],[],[NaT]
981.003188993531,['9D'],[2],['0 days 00:00:00'],[],[NaT]
982.000003836466,['922'],[2],['0 days 00:02:24.530000'],[],[NaT]
982.000362076259,['501'],[1],['0 days 00:00:00'],[],[NaT]
982.000365147061,['202'],[51],['13 days 05:00:29.010000'],[],[NaT]
982.00036518433,['61'],[344],['4 days 00:35:36.250000'],[],[NaT]
982.000402961467,"['202', '201']","[15, 1]","['24 days 09:55:33.100000', '0 days 00:00:00']",['ds'],"[Timedelta('0 days 00:05:09.120000'), NaT]"
