tag_id,loc_code,number_of_detections,dwell_time,movement_direction,time_between_locations
956.000005411728,"['6A', '61', '61', '6A', '61']","[5, 6, 12, 1, 548]","['2 days 10:58:30.360000', '1 days 20:15:12.630000', '5 days 21:50:03.030000', '0 days 00:00:00', '402 days 23:49:14.870000']","['ds', 'unknown', 'us', 'ds']","[Timedelta('21 days 16:26:32.950000'), Timedelta('698 days 02:14:13.630000'), Timedelta('0 days 00:36:30.360000'), Timedelta('0 days 00:40:05.450000'), NaT]"
956.000006406545,"['6A', '501']","[11, 116]","['0 days 02:55:09.300000', '886 days 23:37:28.230000']",['unknown'],"[Timedelta('217 days 18:46:49.710000'), NaT]"
982.00040296503,"['202', '202', '201', '201']","[5, 5, 1, 1]","['0 days 03:35:48.040000', '0 days 03:35:48.040000', '0 days 00:00:00', '0 days 00:00:00']","['unknown', 'ds', 'unknown']","[Timedelta('-1 days +20:24:11.960000'), Timedelta('0 days 02:11:10.240000'), Timedelta('0 days 00:00:00'), NaT]"
982.00040296631,"['202', '202']","[6, 6]","['22 days 10:38:54.260000', '22 days 10:38:54.260000']",['unknown'],"[Timedelta('-23 days +13:21:05.740000'), NaT]"
982.00040313405,"['202', '202', '201', '201']","[117, 117, 1, 1]","['22 days 06:42:16.580000', '22 days 06:42:16.580000', '0 days 00:00:00', '0 days 00:00:00']","['unknown', 'ds', 'unknown']","[Timedelta('-23 days +17:17:43.420000'), Timedelta('0 days 04:23:29.080000'), Timedelta('0 days 00:00:00'), NaT]"
982.00040313406,"['202', '202', '201', '201']","[1, 1, 1, 1]","['0 days 00:00:00', '0 days 00:00:00', '0 days 00:00:00', '0 days 00:00:00']","['unknown', 'ds', 'unknown']","[Timedelta('0 days 00:00:00'), Timedelta('0 days 00:03:06.480000'), Timedelta('0 days 00:00:00'), NaT]"
982.0004031345,"['202', '202', '201', '201']","[1, 1, 1, 1]","['0 days 00:00:00', '0 days 00:00:00', '0 days 00:00:00', '0 days 00:00:00']","['unknown', 'ds', 'unknown']","[Timedelta('0 days 00:00:00'), Timedelta('0 days 00:03:20.060000'), Timedelta('0 days 00:00:00'), NaT]"
982.00040313453,"['202', '202', '201', '201']","[19, 19, 1, 1]","['1 days 11:49:58.940000', '1 days 11:49:58.940000', '0 days 00:00:00', '0 days 00:00:00']","['unknown', 'ds', 'unknown']","[Timedelta('-2 days +12:10:01.060000'), Timedelta('0 days 02:57:27.700000'), Timedelta('0 days 00:00:00'), NaT]"
982.0004031355,"['202', '202']","[4, 4]","['0 days 14:58:19.300000', '0 days 14:58:19.300000']",['unknown'],"[Timedelta('-1 days +09:01:40.700000'), NaT]"
982.00040325905,"['201', '201', '202', '202']","[1, 1, 2, 2]","['0 days 00:00:00', '0 days 00:00:00', '0 days 00:38:56.600000', '0 days 00:38:56.600000']","['unknown', 'us', 'unknown']","[Timedelta('0 days 00:00:00'), Timedelta('1 days 10:36:05.710000'), Timedelta('-1 days +23:21:03.400000'), NaT]"
982.00040326017,"['202', '202', '201', '201']","[14, 14, 1, 1]","['24 days 02:56:00.400000', '24 days 02:56:00.400000', '0 days 00:00:00', '0 days 00:00:00']","['unknown', 'ds', 'unknown']","[Timedelta('-25 days +21:03:59.600000'), Timedelta('0 days 00:06:10.720000'), Timedelta('0 days 00:00:00'), NaT]"
982.00040326177,"['202', '202']","[5, 5]","['24 days 12:03:24.260000', '24 days 12:03:24.260000']",['unknown'],"[Timedelta('-25 days +11:56:35.740000'), NaT]"
982.0004076941,"['202', '202', '201', '201', '202', '202']","[12, 12, 1, 1, 1, 1]","['31 days 12:38:30.140000', '31 days 12:38:30.140000', '0 days 00:00:00', '0 days 00:00:00', '0 days 00:00:00', '0 days 00:00:00']","['unknown', 'ds', 'unknown', 'us', 'unknown']","[Timedelta('-32 days +11:21:29.860000'), Timedelta('0 days 05:52:39.600000'), Timedelta('0 days 00:00:00'), Timedelta('0 days 14:38:01.580000'), Timedelta('0 days 00:00:00'), NaT]"
985.022027661144,"['6A', '5B']","[1, 1]","['0 days 00:00:00', '0 days 00:00:00']",['unknown'],"[Timedelta('149 days 09:25:03.460000'), NaT]"
989.00100552793,"['201', '201']","[1, 1]","['0 days 00:00:00', '0 days 00:00:00']",['unknown'],"[Timedelta('0 days 00:00:00'), NaT]"
989.00100560057,"['202', '202', '201', '201']","[1, 1, 2, 2]","['0 days 00:00:00', '0 days 00:00:00', '22 days 06:33:05.690000', '22 days 06:33:05.690000']","['unknown', 'ds', 'unknown']","[Timedelta('0 days 00:00:00'), Timedelta('0 days 00:04:14.950000'), Timedelta('-23 days +17:26:54.310000'), NaT]"
989.00100565632,"['202', '202']","[44, 44]","['31 days 10:55:05.540000', '31 days 10:55:05.540000']",['unknown'],"[Timedelta('-32 days +13:04:54.460000'), NaT]"
989.00100565789,"['202', '202', '201', '201']","[2, 2, 1, 1]","['1 days 12:27:07.470000', '1 days 12:27:07.470000', '0 days 00:00:00', '0 days 00:00:00']","['unknown', 'ds', 'unknown']","[Timedelta('-2 days +11:32:52.530000'), Timedelta('0 days 00:03:43.710000'), Timedelta('0 days 00:00:00'), NaT]"
989.00100565838,"['22', '202', '202']","[1, 19, 19]","['0 days 00:00:00', '0 days 00:52:00', '0 days 00:52:34.640000']","['us', 'unknown']","[NaT, NaT, NaT]"
989.00100565854,"['202', '202', '201', '201']","[8, 8, 1, 1]","['0 days 00:16:06.030000', '0 days 00:16:06.030000', '0 days 00:00:00', '0 days 00:00:00']","['unknown', 'ds', 'unknown']","[Timedelta('-1 days +23:43:53.970000'), Timedelta('0 days 00:44:56.540000'), Timedelta('0 days 00:00:00'), NaT]"
989.00100565977,"['202', '202', '201', '201']","[111, 111, 1, 1]","['27 days 23:41:24.720000', '27 days 23:41:24.720000', '0 days 00:00:00', '0 days 00:00:00']","['unknown', 'ds', 'unknown']","[Timedelta('-28 days +00:18:35.280000'), Timedelta('0 days 00:34:28.630000'), Timedelta('0 days 00:00:00'), NaT]"
989.00100566096,"['201', '201']","[1, 1]","['0 days 00:00:00', '0 days 00:00:00']",['unknown'],"[Timedelta('0 days 00:00:00'), NaT]"
989.00100566268,"['202', '202', '201', '201']","[53, 53, 1, 1]","['25 days 03:25:39.680000', '25 days 03:25:39.680000', '0 days 00:00:00', '0 days 00:00:00']","['unknown', 'ds', 'unknown']","[Timedelta('-26 days +20:34:20.320000'), Timedelta('0 days 00:10:19.100000'), Timedelta('0 days 00:00:00'), NaT]"
